x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-1.232315,0.280273,-0.211212,1.281313,39314.268407,2001-01-01 11:55:14.268 +0100
-1.234894,0.348297,-0.280869,1.313454,39314.238956,2001-01-01 11:55:14.239 +0100
-1.268982,0.344635,-0.353851,1.361727,39314.209506,2001-01-01 11:55:14.210 +0100
-1.085602,0.323639,-0.416168,1.206843,39314.180057,2001-01-01 11:55:14.180 +0100
-1.204834,0.396484,-0.448502,1.345354,39314.150603,2001-01-01 11:55:14.151 +0100
-1.742126,0.808746,-0.547485,1.997202,39314.121160,2001-01-01 11:55:14.121 +0100
-1.716156,0.802719,-0.522018,1.965211,39314.091709,2001-01-01 11:55:14.092 +0100
-1.420944,0.542511,-0.316574,1.553583,39314.062257,2001-01-01 11:55:14.062 +0100
-1.315765,0.547607,-0.137177,1.431758,39314.032807,2001-01-01 11:55:14.033 +0100
-1.154007,0.586853,-0.031967,1.295048,39314.003354,2001-01-01 11:55:14.003 +0100
-0.846039,0.458145,0.027405,0.962512,39313.973894,2001-01-01 11:55:13.974 +0100
-0.628693,0.334076,0.030548,0.712597,39313.944463,2001-01-01 11:55:13.944 +0100
-0.519897,0.324631,0.020859,0.613281,39313.915016,2001-01-01 11:55:13.915 +0100
-0.443039,0.317291,0.016129,0.545176,39313.885567,2001-01-01 11:55:13.886 +0100
-0.448532,0.300522,0.040726,0.541436,39313.856116,2001-01-01 11:55:13.856 +0100
-0.499130,0.293335,0.060959,0.582145,39313.826666,2001-01-01 11:55:13.827 +0100
-0.546890,0.290634,0.024277,0.619796,39313.797217,2001-01-01 11:55:13.797 +0100
-0.623962,0.318726,-0.025146,0.701104,39313.767768,2001-01-01 11:55:13.768 +0100
-0.735901,0.425293,-0.048599,0.851344,39313.738319,2001-01-01 11:55:13.738 +0100
-0.930115,0.539230,-0.036484,1.075739,39313.708871,2001-01-01 11:55:13.709 +0100
-1.156082,0.686768,-0.045288,1.345447,39313.679425,2001-01-01 11:55:13.679 +0100
-1.322449,0.772629,-0.041885,1.532182,39313.649978,2001-01-01 11:55:13.650 +0100
-1.334244,0.696594,-0.025528,1.505358,39313.620530,2001-01-01 11:55:13.621 +0100
-1.250656,0.468903,-0.044907,1.336423,39313.591080,2001-01-01 11:55:13.591 +0100
-1.089233,0.319336,-0.086334,1.138358,39313.561633,2001-01-01 11:55:13.562 +0100
-1.259064,0.554794,-0.138733,1.382854,39313.532186,2001-01-01 11:55:13.532 +0100
-1.455750,0.684662,-0.229584,1.625016,39313.502745,2001-01-01 11:55:13.503 +0100
-1.340866,0.596329,-0.309479,1.499769,39313.473300,2001-01-01 11:55:13.473 +0100
-1.244293,0.468552,-0.355316,1.376247,39313.443856,2001-01-01 11:55:13.444 +0100
-1.220810,0.468475,-0.384598,1.362997,39313.414408,2001-01-01 11:55:13.414 +0100
-1.137970,0.366486,-0.324051,1.238667,39313.384965,2001-01-01 11:55:13.385 +0100
-1.051529,0.238007,-0.271790,1.111859,39313.355520,2001-01-01 11:55:13.356 +0100
-0.975189,0.074921,-0.207047,0.999738,39313.326078,2001-01-01 11:55:13.326 +0100
-0.931671,-0.006638,-0.167404,0.946615,39313.296632,2001-01-01 11:55:13.297 +0100
-0.894073,-0.020966,-0.115433,0.901738,39313.267189,2001-01-01 11:55:13.267 +0100
-0.879471,0.023483,-0.051971,0.881318,39313.237745,2001-01-01 11:55:13.238 +0100
-0.871643,0.054688,-0.031235,0.873915,39313.208299,2001-01-01 11:55:13.208 +0100
-0.883530,0.020813,-0.056244,0.885563,39313.178854,2001-01-01 11:55:13.179 +0100
-0.990799,0.046875,-0.155945,1.004091,39313.149408,2001-01-01 11:55:13.149 +0100
-1.142944,0.136017,-0.231140,1.173988,39313.119966,2001-01-01 11:55:13.120 +0100
-1.364395,0.281509,-0.309189,1.427032,39313.090522,2001-01-01 11:55:13.091 +0100
-1.456619,0.414581,-0.382019,1.561908,39313.061076,2001-01-01 11:55:13.061 +0100
-1.542053,0.409775,-0.404770,1.646111,39313.031633,2001-01-01 11:55:13.032 +0100
-1.401703,0.276749,-0.361176,1.473706,39313.002191,2001-01-01 11:55:13.002 +0100
-1.431274,0.274719,-0.265808,1.481442,39312.972751,2001-01-01 11:55:12.973 +0100
-1.686401,0.597290,-0.313339,1.816284,39312.943308,2001-01-01 11:55:12.943 +0100
-1.589111,0.654358,-0.297592,1.744139,39312.913861,2001-01-01 11:55:12.914 +0100
-1.253891,0.430466,-0.176941,1.337480,39312.884415,2001-01-01 11:55:12.884 +0100
-1.053314,0.397339,-0.067001,1.127758,39312.854963,2001-01-01 11:55:12.855 +0100
-0.910782,0.347244,0.036194,0.975404,39312.825519,2001-01-01 11:55:12.826 +0100
-0.706970,0.280762,0.089264,0.765900,39312.796075,2001-01-01 11:55:12.796 +0100
-0.515793,0.214462,0.137405,0.575253,39312.766629,2001-01-01 11:55:12.767 +0100
-0.427948,0.234695,0.101212,0.498463,39312.737182,2001-01-01 11:55:12.737 +0100
-0.449173,0.249191,0.069855,0.518394,39312.707735,2001-01-01 11:55:12.708 +0100
-0.505051,0.254715,0.029861,0.566434,39312.678289,2001-01-01 11:55:12.678 +0100
-0.553360,0.251007,-0.031265,0.608432,39312.648849,2001-01-01 11:55:12.649 +0100
-0.643723,0.307175,-0.066757,0.716374,39312.619462,2001-01-01 11:55:12.619 +0100
-0.757584,0.349884,-0.099274,0.840361,39312.590017,2001-01-01 11:55:12.590 +0100
-0.886871,0.389023,-0.149017,0.979840,39312.560547,2001-01-01 11:55:12.561 +0100
-1.092117,0.451431,-0.245438,1.206959,39312.531123,2001-01-01 11:55:12.531 +0100
-1.336990,0.559357,-0.321182,1.484446,39312.501676,2001-01-01 11:55:12.502 +0100
-1.384247,0.568481,-0.307663,1.527733,39312.472229,2001-01-01 11:55:12.472 +0100
-1.354935,0.511353,-0.213989,1.463940,39312.442782,2001-01-01 11:55:12.443 +0100
-1.236191,0.361221,-0.151047,1.296713,39312.413335,2001-01-01 11:55:12.413 +0100
-1.065552,0.197662,-0.183350,1.099131,39312.383886,2001-01-01 11:55:12.384 +0100
-1.269180,0.274063,-0.263779,1.324956,39312.354440,2001-01-01 11:55:12.354 +0100
-1.560028,0.426575,-0.343704,1.653417,39312.324996,2001-01-01 11:55:12.325 +0100
-1.633652,0.404663,-0.391815,1.728030,39312.295551,2001-01-01 11:55:12.296 +0100
-1.301498,0.184586,-0.385300,1.369827,39312.266102,2001-01-01 11:55:12.266 +0100
-1.283661,0.103531,-0.392059,1.346185,39312.236658,2001-01-01 11:55:12.237 +0100
-1.258484,0.060898,-0.383774,1.317108,39312.207215,2001-01-01 11:55:12.207 +0100
-1.096725,0.021164,-0.354034,1.152647,39312.177771,2001-01-01 11:55:12.178 +0100
-0.943222,-0.030563,-0.310226,0.993399,39312.148325,2001-01-01 11:55:12.148 +0100
-0.891159,-0.100601,-0.285080,0.941040,39312.118855,2001-01-01 11:55:12.119 +0100
-0.847443,-0.105820,-0.231369,0.884810,39312.089431,2001-01-01 11:55:12.089 +0100
-0.905228,-0.067230,-0.178848,0.925172,39312.059986,2001-01-01 11:55:12.060 +0100
-0.926834,-0.023285,-0.165100,0.941712,39312.030543,2001-01-01 11:55:12.031 +0100
-0.944855,0.019028,-0.197449,0.965452,39312.001101,2001-01-01 11:55:12.001 +0100
-0.960907,0.075256,-0.305176,1.011008,39311.971657,2001-01-01 11:55:11.972 +0100
-1.038055,0.095642,-0.349915,1.099612,39311.942207,2001-01-01 11:55:11.942 +0100
-1.186325,0.173386,-0.399857,1.263849,39311.912759,2001-01-01 11:55:11.913 +0100
-1.259323,0.258804,-0.392456,1.344208,39311.883312,2001-01-01 11:55:11.883 +0100
-1.275803,0.301407,-0.352417,1.357467,39311.853864,2001-01-01 11:55:11.854 +0100
-1.294144,0.223099,-0.322830,1.352331,39311.824414,2001-01-01 11:55:11.824 +0100
-1.211075,-0.006607,-0.238022,1.234261,39311.794965,2001-01-01 11:55:11.795 +0100
-1.314133,-0.089066,-0.199493,1.332169,39311.765514,2001-01-01 11:55:11.766 +0100
-1.428345,0.103394,-0.226334,1.449857,39311.736064,2001-01-01 11:55:11.736 +0100
-1.415375,0.157333,-0.218674,1.440784,39311.706617,2001-01-01 11:55:11.707 +0100
-1.157379,0.033798,-0.123215,1.164410,39311.677171,2001-01-01 11:55:11.677 +0100
-1.014175,0.058197,-0.041794,1.016703,39311.647725,2001-01-01 11:55:11.648 +0100
-0.887177,0.077820,0.009766,0.890637,39311.618281,2001-01-01 11:55:11.618 +0100
-0.726654,0.037064,0.014465,0.727742,39311.588836,2001-01-01 11:55:11.589 +0100
-0.553375,0.080490,0.022934,0.559668,39311.559392,2001-01-01 11:55:11.559 +0100
-0.521729,0.158691,0.017731,0.545617,39311.529946,2001-01-01 11:55:11.530 +0100
-0.534500,0.163528,0.003464,0.558967,39311.500499,2001-01-01 11:55:11.500 +0100
-0.590012,0.148773,-0.024948,0.608991,39311.471054,2001-01-01 11:55:11.471 +0100
-0.600174,0.169876,-0.062744,0.626900,39311.441615,2001-01-01 11:55:11.442 +0100
-0.713852,0.211105,-0.124329,0.754724,39311.412173,2001-01-01 11:55:11.412 +0100
-0.821533,0.216705,-0.174377,0.867344,39311.382734,2001-01-01 11:55:11.383 +0100
-0.965530,0.228760,-0.207016,1.013625,39311.353292,2001-01-01 11:55:11.353 +0100
-1.081528,0.289337,-0.215134,1.140044,39311.323849,2001-01-01 11:55:11.324 +0100
-1.176056,0.397476,-0.258484,1.268033,39311.294404,2001-01-01 11:55:11.294 +0100
-1.344467,0.411804,-0.288925,1.435497,39311.264960,2001-01-01 11:55:11.265 +0100
-1.388062,0.382034,-0.258362,1.462674,39311.235515,2001-01-01 11:55:11.236 +0100
-1.411804,0.261139,-0.164948,1.445196,39311.206069,2001-01-01 11:55:11.206 +0100
-1.347153,0.102203,-0.064789,1.352577,39311.176625,2001-01-01 11:55:11.177 +0100
-1.151917,-0.018906,-0.052902,1.153286,39311.147175,2001-01-01 11:55:11.147 +0100
-1.156128,-0.070892,-0.131531,1.165743,39311.117731,2001-01-01 11:55:11.118 +0100
-1.439072,0.034851,-0.248245,1.460742,39311.088287,2001-01-01 11:55:11.088 +0100
-1.560135,0.094803,-0.249893,1.582863,39311.058846,2001-01-01 11:55:11.059 +0100
-1.431030,0.041443,-0.235565,1.450881,39311.029404,2001-01-01 11:55:11.029 +0100
-1.222046,-0.024109,-0.254333,1.248464,39310.999953,2001-01-01 11:55:11.000 +0100
-1.211426,-0.091187,-0.255798,1.241491,39310.970516,2001-01-01 11:55:10.971 +0100
-1.157257,-0.080170,-0.241867,1.184977,39310.941073,2001-01-01 11:55:10.941 +0100
-1.151337,-0.096725,-0.193161,1.171428,39310.911632,2001-01-01 11:55:10.912 +0100
-1.168732,-0.089249,-0.168091,1.184126,39310.882187,2001-01-01 11:55:10.882 +0100
-1.219742,-0.045364,-0.169876,1.232350,39310.852743,2001-01-01 11:55:10.853 +0100
-1.262985,-0.041672,-0.208893,1.280822,39310.823300,2001-01-01 11:55:10.823 +0100
-1.269821,-0.007690,-0.187210,1.283570,39310.793855,2001-01-01 11:55:10.794 +0100
-1.309265,0.018631,-0.125626,1.315410,39310.764414,2001-01-01 11:55:10.764 +0100
-1.289917,0.017792,-0.107773,1.294534,39310.734972,2001-01-01 11:55:10.735 +0100
-1.301880,-0.014771,-0.152130,1.310821,39310.705532,2001-01-01 11:55:10.706 +0100
-1.323303,-0.010147,-0.201675,1.338621,39310.676088,2001-01-01 11:55:10.676 +0100
-1.336044,-0.041702,-0.203598,1.352112,39310.646643,2001-01-01 11:55:10.647 +0100
-1.425873,-0.021927,-0.216080,1.442319,39310.617198,2001-01-01 11:55:10.617 +0100
-1.369293,-0.075623,-0.239914,1.392207,39310.587755,2001-01-01 11:55:10.588 +0100
-1.304352,-0.096481,-0.435928,1.378650,39310.558309,2001-01-01 11:55:10.558 +0100
-1.016510,0.025772,-0.408920,1.095980,39310.528869,2001-01-01 11:55:10.529 +0100
-0.611023,0.046890,-0.349716,0.705584,39310.499429,2001-01-01 11:55:10.499 +0100
-0.448578,0.116196,-0.328339,0.567917,39310.469984,2001-01-01 11:55:10.470 +0100
-0.319183,0.037994,-0.359833,0.482495,39310.440539,2001-01-01 11:55:10.441 +0100
-0.214371,-0.113449,-0.404892,0.471978,39310.411089,2001-01-01 11:55:10.411 +0100
-0.162903,-0.204117,-0.459381,0.528424,39310.381644,2001-01-01 11:55:10.382 +0100
-0.142792,-0.299927,-0.611954,0.696299,39310.352200,2001-01-01 11:55:10.352 +0100
-0.081909,-0.359802,-0.762085,0.846723,39310.322755,2001-01-01 11:55:10.323 +0100
-0.099548,-0.379425,-0.861771,0.946848,39310.293308,2001-01-01 11:55:10.293 +0100
-0.080139,-0.362579,-0.921173,0.993200,39310.263852,2001-01-01 11:55:10.264 +0100
-0.077423,-0.342804,-0.917099,0.982130,39310.234412,2001-01-01 11:55:10.234 +0100
-0.073898,-0.334320,-0.906525,0.969029,39310.204966,2001-01-01 11:55:10.205 +0100
-0.073303,-0.318115,-0.864838,0.924400,39310.175519,2001-01-01 11:55:10.176 +0100
-0.067673,-0.335571,-0.873978,0.938629,39310.146077,2001-01-01 11:55:10.146 +0100
-0.034439,-0.338684,-0.910461,0.972025,39310.116631,2001-01-01 11:55:10.117 +0100
-0.027359,-0.348923,-0.939728,1.002788,39310.087179,2001-01-01 11:55:10.087 +0100
