x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.799637,0.377487,-0.112915,0.891440,20532.594756,2001-01-01 06:42:12.595 +0100
-0.529541,0.276749,-0.126526,0.610747,20532.565356,2001-01-01 06:42:12.565 +0100
-0.656647,0.395859,-0.192444,0.790521,20532.535957,2001-01-01 06:42:12.536 +0100
-1.062088,0.694733,-0.295227,1.303013,20532.506553,2001-01-01 06:42:12.507 +0100
-1.099686,0.695190,-0.287216,1.332326,20532.477162,2001-01-01 06:42:12.477 +0100
-0.926300,0.466263,-0.230042,1.062239,20532.447764,2001-01-01 06:42:12.448 +0100
-0.999039,0.493118,-0.270721,1.146531,20532.418369,2001-01-01 06:42:12.418 +0100
-1.039749,0.515656,-0.335007,1.207977,20532.388974,2001-01-01 06:42:12.389 +0100
-0.954681,0.460693,-0.347626,1.115571,20532.359581,2001-01-01 06:42:12.360 +0100
-0.888596,0.330872,-0.297470,0.993764,20532.330184,2001-01-01 06:42:12.330 +0100
-0.887009,0.236160,-0.260117,0.954053,20532.300790,2001-01-01 06:42:12.301 +0100
-0.859848,0.184067,-0.227493,0.908280,20532.271394,2001-01-01 06:42:12.271 +0100
-0.821762,0.171906,-0.213898,0.866370,20532.241995,2001-01-01 06:42:12.242 +0100
-0.804565,0.192169,-0.220673,0.856126,20532.212599,2001-01-01 06:42:12.213 +0100
-0.788345,0.192581,-0.243622,0.847306,20532.183201,2001-01-01 06:42:12.183 +0100
-0.800201,0.231873,-0.288559,0.881677,20532.153800,2001-01-01 06:42:12.154 +0100
-0.886703,0.296295,-0.312912,0.985874,20532.124401,2001-01-01 06:42:12.124 +0100
-0.933762,0.347382,-0.291748,1.038124,20532.095017,2001-01-01 06:42:12.095 +0100
-0.980469,0.366470,-0.267334,1.080318,20532.065624,2001-01-01 06:42:12.066 +0100
-1.029190,0.305527,-0.288742,1.111733,20532.036232,2001-01-01 06:42:12.036 +0100
-1.091568,0.121964,-0.319794,1.143968,20532.006837,2001-01-01 06:42:12.007 +0100
-1.113327,-0.090561,-0.317978,1.161382,20531.977438,2001-01-01 06:42:11.977 +0100
-1.354675,0.007507,-0.321365,1.392292,20531.948042,2001-01-01 06:42:11.948 +0100
-1.608231,0.383514,-0.416550,1.704993,20531.918646,2001-01-01 06:42:11.919 +0100
-1.272934,0.139633,-0.387985,1.338055,20531.889248,2001-01-01 06:42:11.889 +0100
-1.278656,0.165161,-0.375946,1.342972,20531.859849,2001-01-01 06:42:11.860 +0100
-1.252350,0.246857,-0.373978,1.330104,20531.830453,2001-01-01 06:42:11.830 +0100
-1.183884,0.263519,-0.369308,1.267837,20531.801057,2001-01-01 06:42:11.801 +0100
-1.028397,0.209061,-0.366028,1.111433,20531.771660,2001-01-01 06:42:11.772 +0100
-0.884659,0.191177,-0.316696,0.958888,20531.742245,2001-01-01 06:42:11.742 +0100
-0.796570,0.162277,-0.248795,0.850151,20531.712867,2001-01-01 06:42:11.713 +0100
-0.781631,0.173965,-0.212769,0.828542,20531.683468,2001-01-01 06:42:11.683 +0100
-0.796997,0.181854,-0.190201,0.839316,20531.654073,2001-01-01 06:42:11.654 +0100
-0.838699,0.178223,-0.166916,0.873522,20531.624680,2001-01-01 06:42:11.625 +0100
-0.871414,0.179871,-0.158112,0.903723,20531.595325,2001-01-01 06:42:11.595 +0100
-0.945923,0.201065,-0.207870,0.989145,20531.565930,2001-01-01 06:42:11.566 +0100
-1.059082,0.277740,-0.278625,1.129791,20531.536535,2001-01-01 06:42:11.537 +0100
-1.078796,0.329620,-0.270599,1.160032,20531.507139,2001-01-01 06:42:11.507 +0100
-1.009583,0.324921,-0.205338,1.080275,20531.477746,2001-01-01 06:42:11.478 +0100
-0.994858,0.365173,-0.180710,1.075058,20531.448355,2001-01-01 06:42:11.448 +0100
-0.920197,0.323242,-0.203568,0.996337,20531.418958,2001-01-01 06:42:11.419 +0100
-0.733459,0.219666,-0.223053,0.797476,20531.389564,2001-01-01 06:42:11.390 +0100
-0.871506,0.356827,-0.206604,0.964123,20531.360137,2001-01-01 06:42:11.360 +0100
-1.133682,0.606033,-0.225983,1.305213,20531.330761,2001-01-01 06:42:11.331 +0100
-0.956268,0.486252,-0.255844,1.102881,20531.301368,2001-01-01 06:42:11.301 +0100
-0.862701,0.434448,-0.264450,1.001465,20531.271970,2001-01-01 06:42:11.272 +0100
-0.888809,0.483276,-0.275238,1.048472,20531.242577,2001-01-01 06:42:11.243 +0100
-0.857513,0.478012,-0.284592,1.022163,20531.213180,2001-01-01 06:42:11.213 +0100
-0.811722,0.412125,-0.296310,0.957360,20531.183783,2001-01-01 06:42:11.184 +0100
-0.772461,0.346130,-0.294373,0.896190,20531.154391,2001-01-01 06:42:11.154 +0100
-0.760391,0.297134,-0.288086,0.865724,20531.124994,2001-01-01 06:42:11.125 +0100
-0.785248,0.292709,-0.276718,0.882534,20531.095598,2001-01-01 06:42:11.096 +0100
-0.786636,0.292862,-0.280365,0.884969,20531.066201,2001-01-01 06:42:11.066 +0100
